Team,Conf.,Rec.,2ndO Wins,S&P+P,S&P+R,Rk,Off. S&P+,Rk,Def. S&P+,Rk,ST S&P+,Rk,SOS,Rk,Year
Western Kentucky,C-USA,7-Jun,6.8 (0.8),31.70%,-4.9,88,25.5,88,30,83,-0.4,83,0.979,127,2017
Middle Tennessee,C-USA,6-Jul,7.2 (0.2),31.60%,-4.9,89,21.2,111,26.8,62,0.6,44,0.971,121,2017
Eastern Michigan,MAC,7-May,5.8 (0.8),30.60%,-5.3,90,22,107,26.4,60,-1,104,0.965,115,2017
Army,Ind,3-Oct,7.0 (-3.0),30.60%,-5.3,91,32.1,46,35,106,-2.5,127,0.931,81,2017
Rutgers,Big Ten,8-Apr,3.9 (-0.1),30.20%,-5.5,92,23.3,101,29,78,0.2,62,0.818,8,2017
Louisiana Tech,C-USA,6-Jul,6.8 (-0.2),30.10%,-5.5,93,26.8,79,32.7,96,0.4,50,0.953,99,2017
Tulane,AAC,7-May,4.6 (-0.4),29.70%,-5.7,94,28.5,67,35,108,0.9,37,0.921,72,2017
Cincinnati,AAC,8-Apr,4.4 (0.4),27.90%,-6.4,95,23.3,103,28.2,68,-1.4,111,0.928,79,2017
Illinois,Big Ten,10-Feb,2.3 (0.3),25.30%,-7.4,96,21.6,109,29.9,81,0.9,34,0.848,31,2017
BYU,Ind,9-Apr,5.5 (1.5),25.20%,-7.4,97,18.6,121,25.8,56,-0.3,78,0.893,62,2017
Central Michigan,MAC,5-Aug,6.1 (-1.9),22.40%,-8.6,98,21.4,110,28.2,69,-1.9,118,0.961,109,2017
New Mexico State,Sun Belt,6-Jul,7.1 (0.1),20.70%,-9.4,99,24.5,94,32.6,95,-1.3,107,0.972,122,2017
Massachusetts,Ind,8-Apr,5.9 (1.9),20.20%,-9.7,100,24.1,98,31.9,92,-1.8,115,0.956,102,2017
Bowling Green,MAC,10-Feb,3.4 (1.4),19.50%,-10,101,27.5,74,38.9,119,1.4,20,0.944,89,2017
Florida International,C-USA,5-Aug,6.4 (-1.6),18.70%,-10.4,102,24,99,35,107,0.7,43,0.964,112,2017
Tulsa,AAC,10-Feb,2.4 (0.4),18.00%,-10.7,103,27.3,76,37.8,117,-0.2,76,0.924,73,2017
Air Force,MWC,7-May,3.8 (-1.2),17.40%,-11,104,28.8,61,40.5,124,0.7,42,0.939,84,2017
Buffalo,MAC,6-Jun,6.1 (0.1),17.00%,-11.2,105,24.9,93,33.9,100,-2.2,123,0.969,119,2017
South Alabama,Sun Belt,8-Apr,4.1 (0.1),15.60%,-12,106,18.3,123,31.4,90,1.1,27,0.948,93,2017
Idaho,Sun Belt,8-Apr,5.2 (1.2),14.90%,-12.4,107,18.7,120,30.2,85,-0.8,94,0.969,118,2017
New Mexico,MWC,9-Mar,4.6 (1.6),14.90%,-12.4,108,20.8,113,34.2,102,0.9,30,0.954,101,2017
Oregon State,Pac-12,11-Jan,1.9 (0.9),14.60%,-12.6,109,28.8,59,39.9,122,-1.5,113,0.88,58,2017
UL-Monroe,Sun Belt,8-Apr,4.5 (0.5),14.10%,-12.9,110,32.3,42,45.5,130,0.3,55,0.91,66,2017
Georgia State,Sun Belt,5-Jul,5.8 (-1.2),12.30%,-14,111,17,124,28.6,75,-2.4,126,0.945,91,2017
East Carolina,AAC,9-Mar,2.4 (-0.6),12.20%,-14,112,27.2,77,41.8,128,0.5,48,0.914,68,2017
UNLV,MWC,7-May,5.0 (0.0),11.50%,-14.5,113,26.2,82,39.8,121,-0.9,101,0.938,83,2017
Kansas,Big 12,11-Jan,1.5 (0.5),11.10%,-14.8,114,21.6,108,36.7,110,0.4,54,0.859,41,2017
Coastal Carolina,Sun Belt,9-Mar,3.6 (0.6),10.70%,-15.1,115,22.6,104,37.2,112,-0.5,84,0.974,124,2017
UAB,C-USA,5-Aug,7.9 (-0.1),10.10%,-15.5,116,19.3,117,34.9,105,0,67,0.976,126,2017
Georgia Southern,Sun Belt,10-Feb,2.2 (0.2),9.80%,-15.8,117,18.3,122,35.5,109,1.4,21,0.934,82,2017
UL-Lafayette,Sun Belt,7-May,4.1 (-0.9),9.70%,-15.8,118,27.5,75,42.9,129,-0.4,81,0.96,108,2017
Nevada,MWC,9-Mar,3.8 (0.8),9.00%,-16.4,119,25.6,86,41.1,127,-0.9,97,0.941,86,2017
Old Dominion,C-USA,7-May,3.8 (-1.2),8.40%,-16.8,120,16.3,125,32.8,98,-0.3,80,0.958,107,2017
Akron,MAC,7-Jul,4.7 (-2.3),7.60%,-17.6,121,24.1,97,39.6,120,-2.2,122,0.925,75,2017
Connecticut,AAC,9-Mar,2.4 (-0.6),6.00%,-19.2,122,22.4,105,40.7,125,-0.9,102,0.928,80,2017
Ball State,MAC,10-Feb,2.1 (0.1),5.60%,-19.7,123,20.3,114,37.7,116,-2.3,124,0.974,125,2017
Hawaii,MWC,9-Mar,3.5 (0.5),5.60%,-19.7,124,23.3,102,40.4,123,-2.6,129,0.968,117,2017
San Jose State,MWC,11-Feb,2.3 (0.3),5.30%,-20,125,15.2,126,37.5,114,2.3,4,0.943,88,2017
Kent State,MAC,10-Feb,3.0 (1.0),5.10%,-20.2,126,14.3,128,32.4,94,-2.1,120,0.918,70,2017
Texas State,Sun Belt,10-Feb,2.3 (0.3),3.00%,-23.5,127,14.7,127,36.9,111,-1.3,108,0.97,120,2017
Rice,C-USA,11-Jan,2.3 (1.3),3.00%,-23.6,128,19.2,118,40.9,126,-1.9,117,0.951,96,2017
Charlotte,C-USA,11-Jan,1.4 (0.4),1.90%,-26.1,129,13.7,129,37.7,115,-2.1,121,0.967,116,2017
UTEP,C-USA,0-12,0.7 (0.7),1.50%,-27.4,130,12.8,130,38.7,118,-1.5,112,0.941,87,2017
Alabama,SEC,14-1,13.8 (-0.2),99.10%,31.7,1,40,14,8.6,1,0.4,48,0.787,1,2016
Clemson,ACC,14-1,12.8 (-1.2),98.30%,28.7,2,43.5,3,14.1,6,-0.7,85,0.82,9,2016
Washington,Pac-12,2-Dec,11.9 (-0.1),97.60%,26.7,3,40.2,12,13.9,4,0.4,51,0.874,49,2016
Oklahoma,Big 12,2-Nov,11.0 (0.0),97.30%,26.1,4,48.7,1,22.9,31,0.3,54,0.864,40,2016
LSU,SEC,4-Aug,9.5 (1.5),96.90%,25.3,5,34.2,41,9,2,0.2,61,0.816,5,2016
Michigan,Big Ten,3-Oct,10.4 (0.4),96.30%,24.4,6,34.8,35,11.1,3,0.7,39,0.863,37,2016
Florida State,ACC,3-Oct,10.6 (0.6),96.10%,24,7,42.6,5,18.8,17,0.2,58,0.806,3,2016
USC,Pac-12,3-Oct,10.0 (0.0),95.80%,23.6,8,39.2,19,17.1,9,1.5,19,0.819,8,2016
Louisville,ACC,4-Sep,9.9 (0.9),95.20%,22.9,9,40.8,8,17.7,15,-0.2,73,0.863,38,2016
Ohio State,Big Ten,2-Nov,9.2 (-1.8),94.80%,22.4,10,35.6,32,15,8,1.7,14,0.816,7,2016
Penn State,Big Ten,3-Nov,10.5 (-0.5),91.30%,19,11,38,23,20.9,25,1.9,11,0.839,16,2016
Miami-FL,ACC,4-Sep,9.3 (0.3),90.80%,18.6,12,34.1,42,17.3,11,1.8,12,0.861,30,2016
Oklahoma State,Big 12,3-Oct,9.2 (-0.8),87.50%,16.4,13,42.4,7,27,51,1,28,0.879,55,2016
Stanford,Pac-12,3-Oct,8.5 (-1.5),87.50%,16.4,14,31.2,53,17.5,12,2.7,3,0.854,21,2016
Tennessee,SEC,4-Sep,8.4 (-0.6),87.40%,16.3,15,39.9,15,25.2,44,1.6,17,0.867,43,2016
Wisconsin,Big Ten,3-Nov,10.5 (-0.5),87.00%,16.1,16,30.5,59,14.8,7,0.5,44,0.837,14,2016
North Carolina,ACC,5-Aug,8.2 (0.2),86.60%,15.9,17,38.5,21,24.6,41,2,9,0.861,29,2016
Notre Dame,Ind,8-Apr,7.3 (3.3),86.40%,15.7,18,39.4,18,23.2,34,-0.4,80,0.862,31,2016
Western Kentucky,C-USA,3-Nov,11.5 (0.5),85.90%,15.5,19,40.7,9,25.8,46,0.5,43,0.931,79,2016
Florida,SEC,4-Sep,7.9 (-1.1),85.70%,15.4,20,26.6,84,14,5,2.8,2,0.837,13,2016
Auburn,SEC,5-Aug,7.7 (-0.3),85.70%,15.3,21,32.1,49,18.4,16,1.7,15,0.797,2,2016
Virginia Tech,ACC,4-Oct,9.5 (-0.5),85.50%,15.2,22,34.5,39,19.6,21,0.4,49,0.858,25,2016
Pittsburgh,ACC,5-Aug,8.0 (0.0),81.40%,13.1,23,43,4,29.4,75,-0.4,81,0.846,19,2016
Minnesota,Big Ten,4-Sep,9.1 (0.1),80.20%,12.6,24,27.8,76,17.5,13,2.3,5,0.915,69,2016
Ole Miss,SEC,7-May,5.5 (0.5),79.70%,12.4,25,38.9,20,27.9,62,1.3,21,0.812,4,2016
Toledo,MAC,4-Sep,10.8 (1.8),79.50%,12.3,26,40.6,10,27.4,55,-0.9,95,0.953,111,2016
Texas A&M,SEC,5-Aug,7.7 (-0.3),78.90%,12,27,37.2,26,26.1,47,1,32,0.841,17,2016
Temple,AAC,4-Oct,10.5 (0.5),78.70%,11.9,28,31.5,52,19.8,22,0.2,62,0.944,100,2016
Western Michigan,MAC,13-1,11.6 (-1.4),77.80%,11.5,29,40,13,28.9,70,0.4,47,0.952,109,2016
Boise State,MWC,3-Oct,10.2 (0.2),77.70%,11.5,30,36.7,28,25,42,-0.2,76,0.952,108,2016
San Diego State,MWC,3-Nov,10.3 (-0.7),77.50%,11.4,31,32,50,22.5,29,1.9,10,0.97,126,2016
Baylor,Big 12,6-Jul,7.9 (0.9),77.20%,11.3,32,37,27,24.2,40,-1.5,110,0.883,59,2016
West Virginia,Big 12,3-Oct,8.2 (-1.8),77.10%,11.3,33,35.7,31,22.8,30,-1.6,112,0.862,32,2016
TCU,Big 12,7-Jun,7.8 (1.8),76.40%,11,34,34.5,38,23.4,36,-0.1,71,0.876,51,2016
Utah,Pac-12,4-Sep,7.4 (-1.6),76.30%,10.9,35,32.5,46,23.6,38,2,8,0.885,60,2016
Texas,Big 12,7-May,7.2 (2.2),75.60%,10.6,36,37.4,25,26.8,50,0,68,0.863,34,2016
Iowa,Big Ten,5-Aug,8.2 (0.2),74.60%,10.3,37,29,68,18.9,18,0.2,60,0.872,47,2016
Nebraska,Big Ten,4-Sep,7.7 (-1.3),74.60%,10.3,38,37.7,24,28.3,65,0.8,36,0.888,63,2016
Houston,AAC,4-Sep,8.5 (-0.5),74.20%,10.1,39,30.8,56,21.7,27,1,29,0.896,64,2016
South Florida,AAC,2-Nov,9.2 (-1.8),73.50%,9.8,40,44.4,2,34.9,99,0.3,55,0.927,77,2016
NC State,ACC,6-Jul,8.3 (1.3),72.30%,9.4,41,30.5,58,19.3,19,-1.8,116,0.833,12,2016
Georgia,SEC,5-Aug,8.0 (0.0),72.20%,9.3,42,28,74,17.6,14,-1.1,97,0.887,62,2016
Appalachian State,Sun Belt,3-Oct,9.4 (-0.6),71.90%,9.2,43,30,61,20.5,23,-0.2,75,0.934,83,2016
UCLA,Pac-12,8-Apr,6.3 (2.3),71.50%,9.1,44,27.5,79,17.3,10,-1.1,98,0.886,61,2016
Kansas State,Big 12,4-Sep,7.4 (-1.6),69.20%,8.2,45,34.2,40,27.2,52,1.2,27,0.862,33,2016
BYU,Ind,4-Sep,8.9 (-0.1),68.50%,8,46,29.6,63,23.1,33,1.4,20,0.919,72,2016
Arkansas,SEC,6-Jul,6.0 (-1.0),68.10%,7.9,47,36.2,29,28.9,71,0.5,42,0.824,10,2016
Georgia Tech,ACC,4-Sep,6.8 (-2.2),67.80%,7.8,48,35,34,28.5,69,1.3,22,0.868,44,2016
Memphis,AAC,5-Aug,7.7 (-0.3),67.70%,7.7,49,33.8,43,29.3,74,3.2,1,0.916,70,2016
Tulsa,AAC,3-Oct,10.1 (0.1),66.80%,7.4,50,34.6,36,27.6,57,0.4,50,0.937,86,2016
Michigan State,Big Ten,9-Mar,4.9 (1.9),66.70%,7.4,51,31,55,24.1,39,0.4,46,0.85,20,2016
Navy,AAC,5-Sep,7.7 (-1.3),65.20%,6.8,52,39.8,17,33.9,97,1,31,0.924,76,2016
Colorado,Pac-12,4-Oct,9.0 (-1.0),63.70%,6.3,53,29.3,65,21.7,28,-1.3,103,0.838,15,2016
Washington State,Pac-12,5-Aug,7.8 (-0.2),63.20%,6.2,54,36.2,30,27.8,60,-2.2,122,0.882,57,2016
Oregon,Pac-12,8-Apr,5.2 (1.2),63.00%,6.1,55,42.5,6,36.1,106,-0.4,78,0.86,28,2016
Mississippi State,SEC,7-Jun,6.6 (0.6),61.00%,5.4,56,34.5,37,27.8,61,-1.3,104,0.857,23,2016
Indiana,Big Ten,7-Jun,7.6 (1.6),58.20%,4.6,57,25.1,91,19.4,20,-1.1,99,0.876,53,2016
Air Force,MWC,3-Oct,9.3 (-0.7),57.80%,4.4,58,33,45,29.9,80,1.3,23,0.967,123,2016
Texas Tech,Big 12,7-May,5.3 (0.3),55.50%,3.7,59,40.6,11,36.9,114,0,67,0.872,48,2016
Louisiana Tech,C-USA,5-Sep,9.4 (0.4),53.50%,3.1,60,39.8,16,36.9,112,0.1,63,0.94,96,2016
Northwestern,Big Ten,6-Jul,6.6 (-0.4),53.00%,2.9,61,27.9,75,23.5,37,-1.5,109,0.875,50,2016
California,Pac-12,7-May,5.4 (0.4),51.50%,2.4,62,38.4,22,36.3,107,0.3,52,0.843,18,2016
Troy,Sun Belt,3-Oct,8.7 (-1.3),47.30%,1.1,63,25.7,87,25.1,43,0.4,45,0.937,88,2016
Colorado State,MWC,6-Jul,7.5 (0.5),46.20%,0.8,64,33.5,44,34,98,1.3,24,0.941,97,2016
Southern Miss,C-USA,6-Jul,7.3 (0.3),46.10%,0.7,65,29.1,67,29.6,78,1.2,26,0.949,103,2016
Iowa State,Big 12,9-Mar,4.2 (1.2),45.90%,0.7,66,27,81,28.5,67,2.2,6,0.866,42,2016
Wake Forest,ACC,6-Jul,5.3 (-1.7),42.00%,-0.6,67,21.5,114,22.9,32,0.9,33,0.865,41,2016
Maryland,Big Ten,7-Jun,6.2 (0.2),42.00%,-0.6,68,28.7,70,28.1,63,-1.2,102,0.876,52,2016
Old Dominion,C-USA,3-Oct,9.5 (-0.5),41.60%,-0.7,69,29.9,62,30.9,82,0.2,56,0.956,117,2016
Missouri,SEC,8-Apr,4.8 (0.8),40.60%,-1,70,31.2,54,31.3,85,-0.9,96,0.883,58,2016
Vanderbilt,SEC,7-Jun,5.0 (-1.0),40.20%,-1.2,71,25.3,89,26.3,48,-0.1,70,0.881,56,2016
Arkansas State,Sun Belt,5-Aug,9.4 (1.4),40.10%,-1.2,72,21.9,113,21.1,26,-2,120,0.955,114,2016
Boston College,ACC,6-Jul,5.7 (-1.3),39.00%,-1.6,73,20.1,117,20.8,24,-0.8,90,0.859,27,2016
Middle Tennessee,C-USA,5-Aug,7.9 (-0.1),38.10%,-1.9,74,35,33,36.8,111,-0.1,69,0.967,124,2016
Ohio,MAC,6-Aug,7.6 (-0.4),37.20%,-2.1,75,22,112,25.8,45,1.7,16,0.948,102,2016
Central Florida,AAC,7-Jun,5.8 (-0.2),36.90%,-2.2,76,19.3,120,23.3,35,1.8,13,0.917,71,2016
Northern Illinois,MAC,7-May,5.7 (0.7),36.30%,-2.4,77,32,51,32.7,91,-1.7,115,0.94,95,2016
Kentucky,SEC,6-Jul,6.0 (-1.0),35.90%,-2.6,78,30.8,57,33.4,93,0.1,66,0.857,24,2016
Syracuse,ACC,8-Apr,3.6 (-0.4),35.50%,-2.7,79,29.2,66,31.2,84,-0.7,86,0.816,6,2016
Duke,ACC,8-Apr,4.0 (0.0),35.20%,-2.8,80,26.8,82,27.6,58,-2,119,0.856,22,2016
Arizona State,Pac-12,7-May,3.1 (-1.9),34.60%,-3,81,32.2,48,37.6,117,2.5,4,0.871,46,2016
Cincinnati,AAC,8-Apr,4.4 (0.4),32.90%,-3.6,82,24.5,99,27.3,53,-0.8,92,0.929,78,2016
Virginia,ACC,10-Feb,4.0 (2.0),32.30%,-3.8,83,25.4,88,28.5,68,-0.7,89,0.869,45,2016
Georgia Southern,Sun Belt,7-May,4.4 (-0.6),32.20%,-3.9,84,27.8,77,32.6,90,1,30,0.942,99,2016
South Carolina,SEC,7-Jun,4.8 (-1.2),31.70%,-4,85,22.7,105,27.5,56,0.8,37,0.878,54,2016
Utah State,MWC,9-Mar,5.1 (2.1),30.70%,-4.4,86,24.7,97,27.7,59,-1.4,107,0.915,68,2016
Arizona,Pac-12,9-Mar,3.3 (0.3),30.50%,-4.5,87,29.6,64,32.4,88,-1.6,114,0.858,26,2016
Oregon State,Pac-12,8-Apr,4.5 (0.5),30.00%,-4.6,88,26.1,86,30,81,-0.7,88,0.863,35,2016
New Mexico,MWC,4-Sep,7.3 (-1.7),28.70%,-5.1,89,32.2,47,38.6,120,1.3,25,0.971,127,2016
Akron,MAC,7-May,5.5 (0.5),27.30%,-5.6,90,22.3,109,28.2,64,0.3,53,0.934,84,2016
Central Michigan,MAC,7-Jun,5.3 (-0.7),26.10%,-6.1,91,27.6,78,31.4,86,-2.3,124,0.936,85,2016
Miami-OH,MAC,7-Jun,7.7 (1.7),26.10%,-6.1,92,23.8,101,29,72,-0.8,91,0.952,107,2016
Bowling Green,MAC,8-Apr,3.8 (-0.2),24.90%,-6.6,93,25,93,31.8,87,0.2,57,0.932,82,2016
Illinois,Big Ten,9-Mar,3.0 (0.0),24.60%,-6.7,94,22.7,106,29.5,77,0.2,59,0.864,39,2016
Wyoming,MWC,6-Aug,6.6 (-1.4),24.00%,-6.9,95,30.4,60,37.5,116,0.1,64,0.932,81,2016
Ball State,MAC,8-Apr,5.6 (1.6),23.80%,-7,96,28.2,73,35.1,102,-0.1,72,0.956,115,2016
Eastern Michigan,MAC,6-Jul,6.2 (-0.8),20.90%,-8.2,97,28.3,72,36.6,108,0.1,65,0.956,116,2016
Idaho,Sun Belt,4-Sep,6.4 (-2.6),20.00%,-8.6,98,24.7,96,34.9,100,1.5,18,0.937,89,2016
UL-Lafayette,Sun Belt,7-Jun,5.7 (-0.3),19.70%,-8.7,99,19.8,118,29.4,76,0.8,35,0.956,118,2016
East Carolina,AAC,9-Mar,3.9 (0.9),19.10%,-9,100,27.2,80,35.1,101,-1.1,101,0.92,73,2016
South Alabama,Sun Belt,7-Jun,6.6 (0.6),18.30%,-9.4,101,25.2,90,33.3,92,-1.3,105,0.962,121,2016
Army,Ind,5-Aug,8.5 (0.5),17.20%,-9.9,102,22.2,110,29.2,73,-2.9,128,0.949,104,2016
Hawaii,MWC,7-Jul,6.7 (-0.3),16.80%,-10.1,103,28.6,71,40.8,124,2.2,7,0.931,80,2016
SMU,AAC,7-May,4.7 (-0.3),15.50%,-10.8,104,24.3,100,32.6,89,-2.5,126,0.91,67,2016
Purdue,Big Ten,9-Mar,3.3 (0.3),15.10%,-11,105,25.1,92,35.6,103,-0.5,83,0.9,65,2016
UTSA,C-USA,7-Jun,5.9 (-0.1),14.70%,-11.2,106,22.7,107,33.6,95,-0.3,77,0.963,122,2016
Connecticut,AAC,9-Mar,2.8 (-0.2),14.00%,-11.6,107,19.8,119,30.9,83,-0.5,82,0.94,94,2016
Kent State,MAC,9-Mar,3.9 (0.9),13.40%,-12,108,16.6,126,27.4,54,-1.1,100,0.904,66,2016
Georgia State,Sun Belt,9-Mar,4.8 (1.8),13.20%,-12.1,109,17.3,123,26.7,49,-2.7,127,0.95,105,2016
Marshall,C-USA,9-Mar,3.3 (0.3),12.10%,-12.7,110,24.6,98,35.8,104,-1.5,111,0.923,74,2016
Nevada,MWC,7-May,4.8 (-0.2),11.70%,-13,111,26.2,85,37.9,118,-1.3,106,0.959,120,2016
San Jose State,MWC,8-Apr,3.2 (-0.8),10.70%,-13.6,112,22.4,108,36.7,110,0.7,38,0.938,91,2016
Florida Atlantic,C-USA,9-Mar,3.7 (0.7),10.10%,-14.1,113,28.7,69,43.5,128,0.7,40,0.939,93,2016
UNLV,MWC,8-Apr,4.7 (0.7),9.80%,-14.3,114,26.7,83,40.4,122,-0.5,84,0.953,110,2016
Tulane,AAC,8-Apr,4.0 (0.0),9.40%,-14.6,115,15.7,128,28.4,66,-1.8,117,0.939,92,2016
North Texas,C-USA,8-May,5.1 (0.1),9.40%,-14.6,116,22,111,37.5,115,0.8,34,0.95,106,2016
Rutgers,Big Ten,10-Feb,2.1 (0.1),9.00%,-14.9,117,17.3,124,29.9,79,-2.2,123,0.829,11,2016
Massachusetts,Ind,10-Feb,3.6 (1.6),8.50%,-15.3,118,23.7,102,36.7,109,-2.3,125,0.945,101,2016
Kansas,Big 12,10-Feb,1.9 (-0.1),7.70%,-15.9,119,21,115,36,105,-0.8,94,0.863,36,2016
UTEP,C-USA,8-Apr,4.3 (0.3),7.50%,-16.1,120,25,95,40.6,123,-0.4,79,0.971,128,2016
Rice,C-USA,9-Mar,3.8 (0.8),7.10%,-16.5,121,22.8,104,38.6,119,-0.7,87,0.937,87,2016
Fresno State,MWC,11-Jan,2.1 (1.1),6.60%,-16.9,122,16.4,127,33.9,96,0.5,41,0.937,90,2016
New Mexico State,Sun Belt,9-Mar,3.1 (0.1),6.40%,-17.2,123,23.2,103,39.5,121,-0.8,93,0.957,119,2016
Buffalo,MAC,10-Feb,2.4 (0.4),4.90%,-18.8,124,16.8,125,33.5,94,-2.1,121,0.968,125,2016
Florida International,C-USA,8-Apr,3.2 (-0.8),4.80%,-19,125,25,94,42.2,126,-1.8,118,0.955,113,2016
Charlotte,C-USA,8-Apr,3.4 (-0.6),3.40%,-20.9,126,17.6,122,36.9,113,-1.6,113,0.942,98,2016
UL-Monroe,Sun Belt,8-Apr,3.8 (-0.2),3.20%,-21.3,127,20.4,116,41.5,125,-0.2,74,0.923,75,2016
Texas State,Sun Belt,10-Feb,2.1 (0.1),1.40%,-25.5,128,18.4,121,42.5,127,-1.4,108,0.954,112,2016
Ohio State,Big Ten,1-Dec,11.8 (-0.2),98.30%,29.5,1,41.3,14,13.5,6,1.8,14,0.873,55,2015
Alabama,SEC,14-1,13.1 (-0.9),98.10%,29,2,37.7,23,9.1,1,0.4,48,0.777,1,2015
Ole Miss,SEC,3-Oct,11.2 (1.2),97.30%,27,3,43.1,8,17.4,12,1.4,21,0.826,13,2015
Clemson,ACC,14-1,13.0 (-1.0),95.50%,24,4,41.9,10,17.2,11,-0.7,85,0.807,7,2015
Florida State,ACC,3-Oct,11.0 (1.0),94.90%,23.2,5,38,21,15,7,0.2,58,0.881,59,2015
Stanford,Pac-12,2-Dec,11.0 (-1.0),94.60%,22.8,6,44.5,5,24.5,45,2.8,3,0.851,29,2015
Oklahoma,Big 12,2-Nov,10.2 (-0.8),94.50%,22.7,7,41.7,11,19.3,17,0.3,54,0.85,26,2015
Notre Dame,Ind,3-Oct,11.0 (1.0),94.20%,22.4,8,44.1,6,21.2,29,-0.4,80,0.818,11,2015
North Carolina,ACC,3-Nov,11.7 (0.7),91.80%,20,9,43.3,7,25.3,51,2,9,0.875,57,2015
Michigan,Big Ten,3-Oct,10.5 (0.5),91.40%,19.7,10,35.2,34,16.2,10,0.8,39,0.87,51,2015
LSU,SEC,3-Sep,8.7 (-0.3),91.30%,19.7,11,41.3,12,21.8,34,0.2,61,0.796,3,2015
Tennessee,SEC,4-Sep,9.4 (0.4),91.10%,19.5,12,35.7,31,17.8,13,1.6,17,0.844,22,2015
Baylor,Big 12,3-Oct,10.7 (0.7),91.10%,19.5,13,45.1,3,24.1,44,-1.5,110,0.878,58,2015
Arkansas,SEC,5-Aug,8.7 (0.7),90.70%,19.2,14,46.6,2,28,67,0.5,42,0.803,5,2015
TCU,Big 12,2-Nov,10.5 (-0.5),90.40%,19,15,40.8,15,21.7,32,-0.1,71,0.875,56,2015
UCLA,Pac-12,5-Aug,9.3 (1.3),90.00%,18.6,16,42.4,9,22.6,37,-1.2,98,0.873,54,2015
USC,Pac-12,6-Aug,7.9 (-0.1),87.30%,16.8,17,38.6,20,23.3,41,1.5,19,0.812,10,2015
Georgia,SEC,3-Oct,9.0 (-1.0),87.20%,16.8,18,28.6,70,10.7,2,-1.1,97,0.857,37,2015
Oregon,Pac-12,4-Sep,8.8 (-0.2),85.60%,15.9,19,46.7,1,30.4,83,-0.4,78,0.854,35,2015
Michigan State,Big Ten,2-Dec,9.7 (-2.3),85.10%,15.6,20,35.7,30,20.6,26,0.4,46,0.832,18,2015
Mississippi State,SEC,4-Sep,8.4 (-0.6),84.20%,15.1,21,40.2,16,23.8,42,-1.3,104,0.811,9,2015
Wisconsin,Big Ten,3-Oct,9.7 (-0.3),84.20%,15.1,22,27,76,12.4,4,0.5,44,0.893,64,2015
Auburn,SEC,6-Jul,6.6 (-0.4),83.30%,14.6,23,36.1,28,23.1,40,1.7,15,0.795,2,2015
Texas A&M,SEC,5-Aug,7.7 (-0.3),82.20%,14.1,24,31.9,51,18.8,14,1,32,0.809,8,2015
Florida,SEC,4-Oct,8.7 (-1.3),81.60%,13.8,25,26.7,81,15.8,9,2.8,2,0.799,4,2015
Louisville,ACC,5-Aug,8.0 (0.0),80.50%,13.2,26,33.4,42,20,21,-0.2,73,0.858,42,2015
West Virginia,Big 12,5-Aug,9.5 (1.5),79.80%,12.9,27,34.4,38,19.9,20,-1.6,112,0.871,52,2015
California,Pac-12,5-Aug,8.6 (0.6),77.90%,12.1,28,41.3,13,29.5,79,0.3,52,0.85,27,2015
Navy,AAC,2-Nov,10.4 (-0.6),77.90%,12.1,29,38.9,19,27.8,65,1,31,0.923,82,2015
Boise State,MWC,4-Sep,9.6 (0.6),77.20%,11.8,30,32.2,49,20.2,22,-0.2,76,0.953,122,2015
Virginia Tech,ACC,6-Jul,7.4 (0.4),76.40%,11.4,31,30.8,57,19.7,18,0.4,49,0.868,47,2015
Penn State,Big Ten,6-Jul,6.4 (-0.6),76.00%,11.3,32,28.4,71,19,15,1.9,11,0.865,46,2015
Nebraska,Big Ten,7-Jun,7.5 (1.5),75.60%,11.1,33,35.4,33,25,48,0.8,36,0.885,62,2015
Pittsburgh,ACC,5-Aug,7.9 (-0.1),75.50%,11.1,34,33.9,40,22.4,35,-0.5,81,0.858,40,2015
Utah,Pac-12,3-Oct,7.0 (-3.0),75.30%,11,35,28.8,67,19.8,19,2,8,0.858,41,2015
Miami-FL,ACC,5-Aug,6.7 (-1.3),75.20%,11,36,34.9,37,25.8,54,1.8,12,0.845,23,2015
Western Kentucky,C-USA,2-Dec,11.3 (-0.7),74.70%,10.8,37,40.1,17,29.8,80,0.5,43,0.943,107,2015
Arizona State,Pac-12,7-Jun,5.6 (-0.4),73.40%,10.2,38,34.9,36,27.2,62,2.5,4,0.859,43,2015
Oklahoma State,Big 12,3-Oct,8.0 (-2.0),72.50%,9.9,39,37.7,24,28.8,73,1.1,28,0.851,30,2015
Washington,Pac-12,6-Jul,7.6 (0.6),72.00%,9.7,40,30.1,62,20.8,27,0.4,51,0.863,44,2015
NC State,ACC,6-Jul,7.5 (0.5),71.80%,9.6,41,36.2,27,24.7,47,-1.8,116,0.858,39,2015
Iowa,Big Ten,2-Dec,9.8 (-2.2),71.00%,9.3,42,30.1,63,21,28,0.2,60,0.889,63,2015
Georgia Tech,ACC,9-Mar,3.7 (0.7),70.20%,9,43,33.1,44,25.4,53,1.4,22,0.806,6,2015
BYU,Ind,4-Sep,8.8 (-0.2),69.30%,8.7,44,31.9,52,24.6,46,1.4,20,0.893,65,2015
Louisiana Tech,C-USA,4-Sep,9.9 (0.9),68.30%,8.3,45,35.6,32,27.4,64,0.1,63,0.952,120,2015
Minnesota,Big Ten,7-Jun,6.2 (0.2),67.60%,8.1,46,28.1,72,22.4,36,2.4,5,0.853,34,2015
